point,era,event_class,first_fired_at,last_active_at,max_severity,max_confidence,fired_conditions
mapai,modern,flash_flood,2014-12-27 04:00:00,2014-12-27 06:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
thohoyandou,modern,flash_flood,2014-12-27 04:00:00,2014-12-27 10:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
thohoyandou,modern,flash_flood,2014-12-28 12:00:00,2014-12-29 01:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
xai_xai,modern,flash_flood,2014-12-28 21:00:00,2014-12-29 18:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
chokwe,modern,flash_flood,2014-12-28 23:00:00,2014-12-29 20:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
chokwe,modern,flood,2014-12-29 02:00:00,2014-12-30 12:00:00,severe,1.0,rain_24|rain_48|rsat_24|rsat_72
mapai,modern,flash_flood,2014-12-29 03:00:00,2014-12-29 03:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
xai_xai,modern,flood,2014-12-29 04:00:00,2014-12-30 07:00:00,severe,1.0,rain_24|rain_48|rsat_24|rsat_72
thohoyandou,modern,flash_flood,2015-02-28 01:00:00,2015-02-28 06:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
pafuri,modern,flash_flood,2015-03-29 11:00:00,2015-03-29 18:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
mapai,modern,flash_flood,2015-03-29 12:00:00,2015-03-29 16:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
musina,modern,flash_flood,2015-03-29 14:00:00,2015-03-29 18:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
thohoyandou,modern,flash_flood,2015-03-29 14:00:00,2015-03-29 18:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
thohoyandou,modern,flash_flood,2015-12-13 23:00:00,2015-12-14 03:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
chokwe,modern,flash_flood,2015-12-14 00:00:00,2015-12-14 11:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
musina,modern,flash_flood,2016-01-11 10:00:00,2016-01-11 11:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
mapai,modern,flash_flood,2016-01-26 12:00:00,2016-01-26 16:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
pafuri,modern,flash_flood,2016-01-26 13:00:00,2016-01-26 18:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
